Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1719764465.39,    100.00,      0.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764465.42,    100.00,      0.00,   1193.00,    514.00,    213.00,    232.00,     52.00
1719764465.45,    100.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764465.48,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.51,    100.00,      0.00,    737.00,    514.00,    213.00,    232.00,     53.00
1719764465.54,    100.00,      0.00,    738.00,    514.00,    213.00,    231.00,     53.00
1719764465.57,    100.00,      0.00,    737.00,    514.00,    213.00,    231.00,     53.00
1719764465.60,    100.00,      0.00,    738.00,    514.00,    213.00,    231.00,     55.00
1719764465.63,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.66,    100.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764465.70,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.73,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.76,    100.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764465.79,    100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764465.83,    100.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764465.86,    100.00,      0.00,    812.00,    514.00,    213.00,    232.00,     53.00
1719764465.89,     89.00,      0.00,    733.00,    514.00,    212.00,    232.00,     53.00
1719764465.93,     15.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764465.96,    -36.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764465.99,    -97.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764466.03,   -100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764466.06,   -100.00,      0.00,   1205.00,    514.00,    213.00,    232.00,     53.00
1719764466.10,   -100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764466.13,   -100.00,      0.00,   1340.00,    514.00,    213.00,    232.00,     53.00
1719764466.16,   -100.00,      0.00,    144.00,    514.00,    213.00,    231.00,     53.00
1719764466.18,   -100.00,      0.00,    114.00,    514.00,    213.00,    231.00,     53.00
1719764466.21,   -100.00,      0.00,    109.00,    132.00,    213.00,    231.00,     53.00
1719764466.23,   -100.00,      0.00,    114.00,    100.00,    213.00,    231.00,     53.00
1719764466.25,   -100.00,      0.00,    103.00,     85.00,    221.00,    231.00,     53.00
1719764466.28,   -100.00,      0.00,     82.00,    100.00,    213.00,    231.00,     52.00
1719764466.30,   -100.00,      0.00,    100.00,     73.00,    221.00,    231.00,     53.00
1719764466.33,   -100.00,      0.00,    106.00,     64.00,    213.00,    231.00,     53.00
1719764466.35,   -100.00,      0.00,     91.00,     70.00,    221.00,    231.00,     53.00
1719764466.38,   -100.00,      0.00,    955.00,     94.00,    213.00,    231.00,     53.00
1719764466.41,   -100.00,      0.00,   1349.00,    688.00,    213.00,    231.00,     53.00
1719764466.45,   -100.00,      0.00,   1345.00,    551.00,    213.00,    231.00,     53.00
1719764466.50,   -100.00,      0.00,   1327.00,   2000.00,    212.00,    231.00,     53.00
1719764466.54,   -100.00,      0.00,   1100.00,     56.00,    213.00,    232.00,     53.00
1719764466.57,   -100.00,      0.00,   1079.00,     67.00,    213.00,    231.00,     53.00
1719764466.60,   -100.00,      0.00,   1087.00,    568.00,    213.00,    231.00,     53.00
1719764466.65,   -100.00,      0.00,   1193.00,   2000.00,    213.00,    231.00,     53.00
1719764466.67,   -100.00,      0.00,    214.00,     56.00,    213.00,    269.00,     53.00
1719764466.70,   -100.00,      0.00,   1184.00,     47.00,    213.00,    231.00,     53.00
1719764466.73,   -100.00,      0.00,     91.00,    548.00,    213.00,    231.00,     53.00
1719764466.75,   -100.00,      0.00,     91.00,    548.00,    213.00,    231.00,     53.00
1719764466.78,   -100.00,      0.00,     91.00,     56.00,    213.00,    231.00,     53.00
1719764466.80,   -100.00,      0.00,     91.00,     56.00,    212.00,    231.00,     53.00
1719764466.82,   -100.00,      0.00,    100.00,     56.00,    213.00,    231.00,     53.00
1719764466.85,   -100.00,      0.00,    109.00,     65.00,    213.00,    231.00,     52.00
1719764466.88,   -100.00,      0.00,   1154.00,     56.00,    213.00,    232.00,     53.00
1719764466.90,   -100.00,      0.00,     97.00,     47.00,    222.00,    232.00,     53.00
1719764466.93,   -100.00,      0.00,   1180.00,     47.00,    213.00,    231.00,     53.00
1719764466.96,   -100.00,      0.00,   1193.00,     47.00,    213.00,    231.00,     53.00
1719764466.98,   -100.00,      0.00,    114.00,     47.00,    213.00,    232.00,     53.00
1719764467.01,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.03,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.05,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.08,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.10,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.12,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764467.14,   -100.00,      0.00,     85.00,     38.00,    213.00,    231.00,     53.00
1719764467.17,   -100.00,      0.00,     85.00,     38.00,    213.00,    231.00,     53.00
1719764467.19,   -100.00,      0.00,     85.00,     38.00,    213.00,    231.00,     53.00
1719764467.21,   -100.00,      0.00,     85.00,     59.00,    213.00,    231.00,     53.00
1719764467.24,   -100.00,      0.00,     85.00,     50.00,    213.00,    231.00,     53.00
1719764467.26,   -100.00,      0.00,     76.00,     50.00,    213.00,    232.00,     53.00
1719764467.28,   -100.00,      0.00,     67.00,     41.00,    213.00,    231.00,     53.00
1719764467.31,   -100.00,      0.00,     68.00,     41.00,    213.00,    231.00,     53.00
1719764467.33,   -100.00,      0.00,     68.00,     59.00,    213.00,    231.00,     53.00
1719764467.35,   -100.00,      0.00,     76.00,     35.00,    213.00,    231.00,     52.00
1719764467.38,   -100.00,      0.00,     88.00,     36.00,    213.00,    231.00,     53.00
1719764467.40,   -100.00,      0.00,     70.00,     35.00,    213.00,    232.00,     53.00
1719764467.42,   -100.00,      0.00,     70.00,     44.00,    213.00,    231.00,     53.00
1719764467.45,   -100.00,      0.00,     62.00,     82.00,    213.00,    231.00,     53.00
1719764467.47,   -100.00,      0.00,     62.00,     65.00,    213.00,    231.00,     53.00
1719764467.49,   -100.00,      0.00,     62.00,     64.00,    213.00,    231.00,     53.00
1719764467.52,   -100.00,      0.00,     62.00,     65.00,    213.00,    231.00,     53.00
1719764467.54,   -100.00,      0.00,     62.00,     65.00,    213.00,    231.00,     53.00
1719764467.56,   -100.00,      0.00,     62.00,     73.00,    213.00,    231.00,     53.00
1719764467.59,   -100.00,      0.00,     62.00,     82.00,    213.00,    231.00,     53.00
1719764467.61,   -100.00,      0.00,     70.00,     35.00,    213.00,    231.00,     53.00
1719764467.63,   -100.00,      0.00,     88.00,     35.00,    213.00,    231.00,     53.00
1719764467.66,   -100.00,      0.00,     76.00,     44.00,    213.00,    231.00,     53.00
1719764467.68,   -100.00,      0.00,     67.00,     61.00,    213.00,    231.00,     52.00
1719764467.71,   -100.00,      0.00,     67.00,     79.00,    213.00,    231.00,     53.00
